Date,Time,Open,High,Low,Close,Volume
2014.03.05,0:00,0.89564,0.89957,0.89342,0.89755,38780
2014.03.06,0:00,0.89754,0.9112,0.89722,0.91027,47362
2014.03.07,0:00,0.91027,0.91322,0.90606,0.9067,33544
2014.03.09,0:00,0.90401,0.90616,0.90386,0.90546,3299
2014.03.10,0:00,0.90547,0.90623,0.90113,0.90195,36102
2014.03.11,0:00,0.90197,0.90494,0.89524,0.89627,42250
2014.03.12,0:00,0.89627,0.89989,0.89232,0.89955,45606
2014.03.13,0:00,0.89954,0.91021,0.89935,0.90266,56009
2014.03.14,0:00,0.90266,0.90483,0.89955,0.90303,40455
2014.03.16,0:00,0.90025,0.9028,0.90024,0.90278,2799
2014.03.17,0:00,0.90277,0.9097,0.90085,0.90824,37344
2014.03.18,0:00,0.90824,0.91373,0.90628,0.91292,40706
2014.03.19,0:00,0.91294,0.9133,0.9019,0.90281,42730
2014.03.20,0:00,0.9028,0.90507,0.89941,0.90358,40807
2014.03.21,0:00,0.90358,0.90994,0.90351,0.90795,30885
2014.03.23,0:00,0.9104,0.91097,0.90881,0.90914,3318
2014.03.24,0:00,0.90917,0.91483,0.90468,0.91253,38506
2014.03.25,0:00,0.91253,0.9173,0.91184,0.91605,37665
2014.03.26,0:00,0.91604,0.92439,0.91531,0.92199,41907
2014.03.27,0:00,0.92204,0.92704,0.92152,0.92677,37766
2014.03.28,0:00,0.92676,0.9294,0.92363,0.92478,30905
2014.03.30,0:00,0.92408,0.92572,0.92408,0.92572,2675
2014.03.31,0:00,0.92571,0.92767,0.9217,0.92669,35962
2014.04.01,0:00,0.92675,0.9302,0.9229,0.92362,36575
2014.04.02,0:00,0.92363,0.92623,0.92212,0.92452,33747
2014.04.03,0:00,0.92452,0.92477,0.92044,0.92315,37816
2014.04.04,0:00,0.92316,0.93064,0.92291,0.92902,30694
2014.04.06,0:00,0.92829,0.92919,0.92793,0.92875,3242
2014.04.07,0:00,0.9287,0.92943,0.9253,0.92647,32427
2014.04.08,0:00,0.92648,0.93651,0.92644,0.93471,43031
2014.04.09,0:00,0.93475,0.93982,0.93338,0.93754,39752
2014.04.10,0:00,0.93755,0.94603,0.9374,0.93955,46077
2014.04.11,0:00,0.93957,0.94254,0.9362,0.93963,34626
2014.04.13,0:00,0.93906,0.93951,0.93753,0.9383,2860
2014.04.14,0:00,0.9383,0.94243,0.93824,0.94102,35636
2014.04.15,0:00,0.94104,0.94164,0.93356,0.93417,43070
2014.04.16,0:00,0.93415,0.93869,0.93312,0.93713,41778
2014.04.17,0:00,0.93712,0.93894,0.93201,0.93286,33190
2014.04.18,0:00,0.93285,0.93409,0.93223,0.93255,14516
2014.04.20,0:00,0.93317,0.93399,0.93279,0.93313,1919
2014.04.21,0:00,0.93314,0.93455,0.93143,0.9335,23389
2014.04.22,0:00,0.93355,0.93768,0.93308,0.93691,34062
2014.04.23,0:00,0.93689,0.93762,0.92665,0.92869,39265
2014.04.24,0:00,0.92869,0.92998,0.92511,0.92666,33285
2014.04.25,0:00,0.92667,0.92972,0.92528,0.92688,25828
2014.04.27,0:00,0.92733,0.92758,0.92679,0.92715,1775
2014.04.28,0:00,0.92716,0.93155,0.92434,0.92513,36019
2014.04.29,0:00,0.92513,0.92809,0.92268,0.9272,35877
2014.04.30,0:00,0.9272,0.93,0.92514,0.92807,38713
2014.05.01,0:00,0.92811,0.93115,0.92595,0.92732,33183
2014.05.02,0:00,0.92729,0.92791,0.92013,0.92744,32610
